model,validation_accuracy,training_seconds,inference_ms_per_crop
SVM (RBF),1.0,0.09980289998929948,0.07844571456579226
Random forest,1.0,0.18828839994966984,0.16804714271399593
k-NN,1.0,0.00403890002053231,0.362986428496827
