condition,precision,recall,f1,mean_iou,recognition_accuracy
bright,1.0,0.9583333333333334,0.9787234042553191,0.7615221758880041,1.0
dim,0.9523809523809523,0.8333333333333334,0.888888888888889,0.7254185547070933,1.0
rotated,0.9,0.75,0.8181818181818182,0.7743949374548768,0.9428571428571428
blurred,1.0,1.0,1.0,0.7951822057141076,1.0
noisy,1.0,1.0,1.0,0.7573054796341535,1.0
occluded,0.9473684210526315,0.75,0.8372093023255814,0.7139748254599407,1.0
cluttered,0.6774193548387096,0.875,0.7636363636363636,0.7453677473757341,
